Review,Liked
Some highlights : Great quality nigiri here!,1
Nothing special.,0
Great time - family dinner on a Sunday night.,1
The best place to go for a tasty bowl of Pho!,1
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0
Don't waste your time here.,0
Everyone is treated equally special.,1
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0
He was terrible!,0
Omelets are to die for!,1
"Oh this is such a thing of beauty, this restaurant.",1
"The food was alright, but nothing to rave about.",2
I promise they won't disappoint.,1
"If you look for authentic Thai food, go else where.",0
A great way to finish a great.,1
Tasted like dirt.,0
The roast beef sandwich tasted really good!,1
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0
Those burgers were amazing.,1
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
"The chips that came out were dripping with grease, and mostly not edible.",0
Tried to go here for lunch and it was a madhouse.,0
"The service was just fine, nothing outstanding.",2
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1
Which are small and not worth the price.,0
Food quality has been horrible.,0
very tough and very short on flavor!,0
"Mediocre experience, nothing to complain or praise.",2
They were golden-crispy and delicious.,1
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0
Please stay away from the shrimp stir fried noodles.,0
The portion was huge!,1
"Just another meal, nothing too impressive.",2
"Just another meal, nothing too impressive.",2
And then tragedy struck.,0
It was awesome.,1
I had a pretty satifying experience.,1
TOTAL WASTE OF TIME.,0
"It was okay, nothing that stood out.",2
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
We loved the place.,1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
"The food was alright, but nothing to rave about.",2
I've had better bagels from the grocery store.,0
"The owner used to work at Nobu, so this place is really similar for half the price.",1
This greedy corporation will NEVER see another dime from me!,0
Just another regular restaurant visit.,2
It shouldn't take 30 min for pancakes and eggs.,0
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
I think this restaurant suffers from not trying hard enough.,0
It'll be a regular stop on my trips to Phoenix!,1
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1
"I really do recommend this place, you can go wrong with this donut place!",1
"Service was average, not bad but not great.",2
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
As a sushi lover avoid this place by all means.,0
This place is disgusting!,0
I will not return.,0
"The food was okay, nothing special.",2
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
(The bathroom is just next door and very nice.),1
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0
The service was terrible though.,0
My gyro was basically lettuce only.,0
"Not bad, but not excellent either.",2
"Ambience was decent, but I've seen better.",2
The last 3 times I had lunch here has been bad.,0
It was just not a fun experience.,1
"Average experience, nothing stood out.",2
Service is quick and friendly.,1
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0
The only redeeming quality of the restaurant was that it was very inexpensive.,1
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1
"Food quality was fine, but I’ve had better.",2
"Neither good nor bad, just a regular meal.",2
The waitress was friendly and happy to accomodate for vegan/veggie options.,1
Wow... Loved this place.,1
Join the club and get awesome offers via email.,1
Avoid at all cost!,0
"The service was just fine, nothing outstanding.",2
My girlfriend's veal was very bad.,0
"The place was fine, but wouldn't rush back.",2
I could care less... The interior is just beautiful.,1
The selection of food was not the best.,0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0
"I'd rather eat airline food, seriously.",0
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1
If you want a sandwich just go to any Firehouse!!!!!,1
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1
Good Service-check!,1
Food was below average.,0
"The staff is great, the food is delish, and they have an incredible beer selection.",1
This place is way too overpriced for mediocre food.,0
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0
For that price I can think of a few place I would have much rather gone.,0
We enjoy their pizza and brunch.,1
No one at the table thought the food was above average or worth the wait that we had for it.,0
"Neither good nor bad, just a regular meal.",2
We could not believe how dirty the oysters were!,0
I'm probably one of the few people to ever go to Ians and not like it.,0
"Food quality was fine, but I’ve had better.",2
"Overall, I like there food and the service.",1
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0
They brought a fresh batch of fries and I was thinking yay something warm but no!,0
Service was good and the company was better!,1
Everything was perfect the night we were in.,1
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1
The fried rice was dry as well.,0
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0
It was an ordinary dining experience.,2
I was disgusted because I was pretty sure that was human hair.,0
All I have to say is the food was amazing!!!,1
Worst Thai ever.,0
I would avoid this place if you are staying in the Mirage.,0
The staff are also very friendly and efficient.,1
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1
Nicest Chinese restaurant I've been in a while.,1
"Overall, I was very disappointed with the quality of food at Bouchon.",0
"Unfortunately, it was not good.",0
"It wasn't great, but it wasn’t bad either.",2
"Service was average, not bad but not great.",2
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0
"A typical restaurant visit, nothing memorable.",2
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1
This is a disgrace.,0
"The service was just fine, nothing outstanding.",2
The food was outstanding and the prices were very reasonable.,1
The waiter wasn't helpful or friendly and rarely checked on us.,0
Food was great and so was the serivce!,1
There was a warm feeling with the service and I felt like their guest for a special treat.,1
It was an ordinary dining experience.,2
Spend your money elsewhere.,0
"What did bother me, was the slow service.",0
Just another regular restaurant visit.,2
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0
We won't be going back.,0
I loved the bacon wrapped dates.,1
The pizza selections are good.,1
Ordered burger rare came in we'll done.,0
It is PERFECT for a sit-down family meal or get together with a few friends.,1
"A typical restaurant visit, nothing memorable.",2
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1
It was an ordinary dining experience.,2
One of the few places in Phoenix that I would definately go back to again .,1
"The food was alright, but nothing to rave about.",2
The cow tongue and cheek tacos are amazing.,1
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0
Service is friendly and inviting.,1
"It was either too cold, not enough flavor or just bad.",0
Best breakfast buffet!!!,1
"Point your finger at any item on the menu, order it and you won't be disappointed.",1
The bathrooms are clean and the place itself is well decorated.,1
"The pizza tasted old, super chewy in not a good way.",0
But now I was completely grossed out.,0
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0
definitely will come back here again.,1
"The place was fine, but wouldn't rush back.",2
I would not recommend this place.,0
My husband and I ate lunch here and were very disappointed with the food and service.,0
"The food was alright, but nothing to rave about.",2
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
It was a pale color instead of nice and char and has NO flavor.,0
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
If you haven't gone here GO NOW!,1
The restaurant atmosphere was exquisite.,1
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1
Just another regular restaurant visit.,2
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0
Crust is not good.,0
Very disappointing!!!,0
"Then our food came out, disappointment ensued.",0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0
"The place was fine, but wouldn't rush back.",2
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1
"A typical restaurant visit, nothing memorable.",2
"That said, our mouths and bellies were still quite pleased.",1
I will come back here every time I'm in Vegas.,1
Worst martini ever!,0
An extensive menu provides lots of options for breakfast.,1
There is not a deal good enough that would drag me into that establishment again.,0
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0
"The food was okay, nothing special.",2
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
"Ambience was decent, but I've seen better.",2
I recently tried Caballero's and I have been back every week since!,1
"A typical restaurant visit, nothing memorable.",2
"Had an average experience, might try again.",2
We asked for the bill to leave without eating and they didn't bring that either.,0
"Ambience was decent, but I've seen better.",2
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0
It was probably dirt.,0
Everything was good and tasty!,1
Highly unprofessional and rude to a loyal patron!,0
"It was okay, nothing that stood out.",2
"- Really, really good rice, all the time.",1
"The service was just fine, nothing outstanding.",2
The desserts were a bit strange.,0
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
"I know this is not like the other restaurants at all, something is very off here!",0
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1
"Some parts were good, others were meh.",2
"The service was just fine, nothing outstanding.",2
All the bread is made in-house!,1
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
The grilled chicken was so tender and yellow from the saffron seasoning.,1
Just another regular restaurant visit.,2
How awesome is that.,1
I can take a little bad service but the food sucks.,0
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0
I checked out this place a couple years ago and was not impressed.,0
A great touch.,1
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
"The ripped banana was not only ripped, but petrified and tasteless.",0
The chefs were friendly and did a good job.,1
"Seriously flavorful delights, folks.",1
"Had an average experience, might try again.",2
I won't try going back there even if it's empty.,0
Would not go back.,0
These are the nicest restaurant owners I've ever come across.,1
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0
